DETRACTOR;SATIF_ACAD;SATISF_SERV;SATISF_EXP;SATISF_REG_ACAD;SATISF_ACT_SOST;SATISF_APY_LOGRO_ACAD;SATISF_INF_TEC;SATISF_CAMP_VIRT;SATISF_COM_IMAG
0;3;3;3;4;4;4;5;4;4
1;2;3;3;3;3;4;2;3;3
0;4;4;4;5;5;5;5;5;5
0;5;4;4;4;4;4;4;4;4
0;5;5;4;2;4;4;5;5;5
0;4;3;4;5;5;5;5;5;4
0;5;5;5;5;5;5;5;5;5
0;5;5;5;5;5;5;5;5;5
0;5;5;5;5;5;5;5;5;5
1;3;3;3;3;3;3;3;3;3
0;1;5;5;5;5;5;5;5;5
0;4;4;4;4;4;4;4;4;4
1;3;3;3;3;3;3;3;3;3
1;5;5;5;5;5;1;5;1;1
1;2;1;1;1;1;1;1;1;1
0;4;4;3;3;3;3;3;3;3
1;2;3;3;3;3;3;4;4;3
0;4;4;4;4;4;4;4;4;4
0;5;5;5;5;5;5;5;5;5
1;3;3;3;3;3;2;2;3;2
0;4;4;2;4;4;4;3;4;4
0;5;5;5;5;5;5;5;5;5
0;5;4;4;4;5;4;5;4;4
0;4;4;3;4;4;3;4;4;4
0;5;5;5;5;5;5;5;5;5
1;2;1;1;2;2;1;1;1;1
0;4;4;4;4;4;4;4;4;4
1;3;4;4;5;5;4;4;1;1
0;4;4;4;4;4;4;3;4;4
0;4;5;4;4;4;4;5;5;5
0;4;4;4;4;4;4;5;4;4
0;5;5;5;5;5;5;5;5;5
1;3;3;3;3;3;3;3;3;3
0;5;5;3;4;4;4;3;3;3
0;5;5;5;5;5;5;5;4;4
0;5;4;4;4;3;1;4;5;5
0;5;5;5;5;5;5;5;5;5
1;2;2;3;2;2;3;5;4;2
0;5;5;5;5;5;5;5;5;5
1;5;5;5;1;5;5;1;5;5
0;5;4;3;4;5;3;4;4;3
0;3;3;3;3;3;3;4;4;4
0;4;4;4;4;3;4;4;4;3
0;4;5;5;5;5;5;5;5;5
0;3;4;3;4;4;4;3;4;4
1;3;3;3;3;3;3;3;3;3
0;5;4;4;5;5;5;4;5;5
0;5;5;5;5;5;5;5;5;5
0;4;4;4;4;4;4;4;4;4
0;4;4;4;4;4;4;4;4;4
0;4;4;4;4;4;4;4;4;4
0;4;5;4;4;4;4;5;5;5
0;4;4;4;4;4;4;4;4;4
0;5;5;5;5;5;5;5;5;5
1;2;3;2;3;4;4;3;3;3
0;4;5;4;4;4;3;5;4;4
0;4;4;3;4;3;4;4;4;4
0;4;3;4;3;3;3;3;4;4
0;4;4;4;4;4;4;4;4;4
0;5;5;5;5;5;5;5;5;5
0;4;4;4;4;4;4;4;4;5
0;4;5;5;5;5;5;4;5;5
0;4;4;4;4;4;4;4;4;4
0;5;5;5;5;5;5;5;5;5
0;4;4;4;4;4;4;4;4;4
0;5;5;5;5;4;4;5;5;5
0;5;5;5;5;5;5;5;4;5
0;5;4;3;5;5;5;5;5;5
0;4;4;4;4;4;4;4;2;2
0;5;5;5;5;5;3;5;5;5
0;3;4;4;4;4;4;4;4;4
0;4;3;4;5;3;4;5;5;5
